stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
375,SIVRY Route d'Etalle,,2.796150,51.462941,,
376,SIVRY Route d'Etalle,,2.795784,51.462970,,
377,ETALLE Gendarmerie,,2.797336,51.457926,,
378,ETALLE Gendarmerie,,2.797093,51.457881,,
379,ETALLE Lenclos,,2.799736,51.454479,,
380,ETALLE Lenclos,,2.799588,51.454318,,
381,ETALLE Rue du Paquis 75,,2.800225,51.452227,,
382,ETALLE Eglise,,2.800045,51.449856,,
383,ETALLE Eglise,,2.799406,51.449081,,
384,ETALLE Rue du Moulin n°42,,2.799653,51.448255,,
385,ETALLE Rue du Moulin n°42,,2.799286,51.448363,,
386,ETALLE Ecole Communale,,2.796967,51.450823,,
387,ETALLE Crédit Agricole,,2.798823,51.445867,,
388,ETALLE Crédit Agricole,,2.798621,51.445882,,
389,ETALLE Rue de Virton,,2.793330,51.448348,,
390,ETALLE Rue de Virton,,2.793384,51.448169,,
391,SAINTE-MARIE N83,,2.801832,51.422795,,
392,SAINTE-MARIE N83,,2.801235,51.423886,,
393,ETALLE E.P.C.F.,,2.790616,51.453118,,
394,ETALLE Ferme du Moulin,,2.797427,51.440491,,
395,ETALLE Ferme du Moulin,,2.797235,51.440791,,
396,BUZENOL Montauban,,2.743432,51.439838,,
397,BUZENOL Montauban,,2.743806,51.439860,,
398,BUZENOL Eglise,,2.755952,51.445905,,
399,BUZENOL Eglise,,2.755852,51.445748,,
400,BUZENOL Rue des Hauts Jardins,,2.759218,51.445871,,
401,BUZENOL Rue des Hauts Jardins,,2.758618,51.445765,,
402,BUZENOL Grand-Route,,2.769250,51.440161,,
403,BUZENOL Grand-Route,,2.769572,51.439880,,
404,BUZENOL Grand-Route,,2.769091,51.439658,,
405,BUZENOL Grand-Route,,2.768708,51.439899,,
406,FRATIN Rue des Alouettes,,2.776143,51.434202,,
407,FRATIN Place,,2.777843,51.431444,,
408,FRATIN Place,,2.777539,51.431501,,
409,SAINTE-MARIE Zoning,,2.786642,51.429704,,
410,SAINTE-MARIE Zoning,,2.786787,51.429542,,
411,SAINTE-MARIE Lavoir,,2.793114,51.427863,,
412,SAINTE-MARIE Lavoir,,2.792815,51.427770,,
413,SAINTE-MARIE Rue de la Rigole,,2.793369,51.425952,,
414,SAINTE-MARIE Rue de la Rigole,,2.793072,51.425852,,
415,SAINTE-MARIE Terrain de Football,,2.787737,51.423741,,
416,SAINTE-MARIE Terrain de Football,,2.787766,51.423586,,
417,SAINTE-MARIE Rue de la Balastière,,2.786425,51.423106,,
418,SAINTE-MARIE Rue des Rappes,,2.787494,51.422443,,
419,ETALLE Rue Petit Routeux,,2.806209,51.450405,,
420,ETALLE Rue Petit Routeux,,2.806580,51.450354,,
421,SAINTE-MARIE Ecole,,2.796469,51.425313,,
422,SAINTE-MARIE Ecole,,2.796498,51.425167,,
423,SAINTE-MARIE Grand-Rue,,2.801247,51.423506,,
424,SAINTE-MARIE Grand-Rue,,2.801074,51.423390,,
425,SAINTE-MARIE Rue de la Gare,,2.801115,51.427837,,
426,SAINTE-MARIE Rue de la Gare,,2.800943,51.427826,,
427,SAINTE-MARIE Rue des Tilleuls,,2.803506,51.426439,,
428,SAINTE-MARIE Rue des Tilleuls,,2.803592,51.426297,,
429,SAINTE-MARIE Rue de la Gare n°23,,2.802134,51.419365,,
430,SAINTE-MARIE Rue de la Gare n°23,,2.801916,51.419443,,
431,SAINTE-MARIE Gare,,2.802047,51.415561,,
432,SAINTE-MARIE Gare,,2.801922,51.415433,,
433,SAINTE-MARIE Chaussée Romaine,,2.793923,51.428309,,
434,SAINTE-MARIE Chaussée Romaine,,2.794086,51.427999,,
435,ETALLE Rue du Paquis 47a,,2.798620,51.455276,,
436,ETALLE La Croix Chinin,,2.787808,51.447298,,
437,ETALLE La Croix Chinin,,2.787032,51.447410,,
438,TINTIGNY Route de Poncelle,,2.804886,51.411786,,
439,TINTIGNY Route de Poncelle,,2.804305,51.412112,,
440,TINTIGNY Rue de la Station n°49,,2.807406,51.407945,,
441,TINTIGNY Rue de la Station n°49,,2.807221,51.407907,,
442,TINTIGNY Route de Han,,2.811225,51.400930,,
443,TINTIGNY Route de Han,,2.811076,51.400781,,
444,TINTIGNY Grand-Rue n°39,,2.814558,51.396523,,
445,TINTIGNY Grand-Rue n°39,,2.814229,51.396474,,
446,TINTIGNY Maison Communale,,2.815531,51.392772,,
447,TINTIGNY Maison Communale,,2.815302,51.393180,,
448,TINTIGNY Carrefour,,2.814956,51.392789,,
449,TINTIGNY Carrefour,,2.816134,51.392499,,
450,TINTIGNY Grand'Rue n°122,,2.817046,51.388576,,
451,TINTIGNY Grand'Rue n°122,,2.816796,51.388499,,
452,TINTIGNY Ecole,,2.809110,51.392712,,
453,TINTIGNY Ecole,,2.808936,51.392509,,
454,ANSART Grand-Route,,2.827401,51.398812,,
455,ANSART Grand-Route,,2.827824,51.398791,,
456,ANSART Rue du Chapon,,2.832240,51.397610,,
457,ANSART Rue du Centenaire,,2.836044,51.394996,,
458,CHAPOIS Place du Forgniat,,3.738096,51.144227,,
459,JODOIGNE Athénée Royal,,4.463102,50.984968,,
460,JODOIGNE Athénée Royal,,4.461478,50.986564,,
461,WATERLOO Rue Saint-Germain,,4.442772,50.667517,,
462,WATERLOO Av. Baron Seutin,,4.436969,50.664985,,
